SYMBOL,TICKER,COMPANY NAME,CURRENT PRICE,OPEN,HIGH,LOW,CLOSE PRICE,CHANGE,CHANGE %,VOLUME AVG,52WHIGH,52W-LOW,MARKET CAP(CR),3D CHART
ALOKINDS,NSE:ALOKINDS,Alok Industries Limited,16.98,16.92,17.34,16.75,16.87,0.11,0.65,3811365,24.56,14.01,8502.263606,
ALPA,NSE:ALPA,Alpa Laboratories Limited,80,77.9,80.8,77.9,77.56,2.44,3.15,15912,137.3,75.55,165.9230691,
ALPHAGEO,NSE:ALPHAGEO,Alphageo (India) Limited,238,234.9,239.9,232.95,232.55,5.45,2.34,14406,522.8,217,147.7599607,
ALPSINDUS,NSE:ALPSINDUS,Alps Industries Limited,1.9,1.81,1.9,1.81,1.81,0.09,4.97,47353,3.6,1.6,7.3919537,
AMBER,NSE:AMBER,Amber Enterprises India Limited,7106.5,7301,7302,7078,7302,-195.5,-2.68,325527,8626,5235,23981.28221,
AMBICAAGAR,NSE:AMBICAAGAR,Ambica Agarbathies & Aroma industries Limited,25.3,25.58,25.8,25.29,25.58,-0.28,-1.09,12023,36.95,23.99,43.4799967,
AMBIKCO,NSE:AMBIKCO,Ambika Cotton Mills Limited,1280,1292.6,1302.9,1275.6,1294.1,-14.1,-1.09,6178,1797,1273.05,722.96896,
AMBUJACEM,NSE:AMBUJACEM,Ambuja Cements Limited,548.85,552.45,553.3,547,550,-1.15,-0.21,1519250,624.95,455,133615.9898,
AMDIND,NSE:AMDIND,AMD Industries Limited,53.9,54.72,54.72,53.61,54.72,-0.82,-1.5,27037,68.88,39.85,100.6646103,
AMJLAND,NSE:AMJLAND,Amj Land Holdings Limited,52.12,53.82,54.48,51.87,53.34,-1.22,-2.29,35180,76.49,41.87,204.6343,
AMNPLST,NSE:AMNPLST,Amines & Plasticizers Limited,199.1,200.99,201.7,196.5,198.56,0.54,0.27,11380,349,186.16,1080.154566,
AMRUTANJAN,NSE:AMRUTANJAN,Amrutanjan Health Care Limited,682.9,682.1,695.45,681,684.9,-2,-0.29,15593,842.9,544.1,1988.525574,
ANANDRATHI,NSE:ANANDRATHI,Anand Rathi Wealth Limited,2880,2900,2910,2864,2895.6,-15.6,-0.54,166363,3321.4,1594,23529.168,
ANANTRAJ,NSE:ANANTRAJ,Anant Raj Limited,586.85,609,609,585,605.1,-18.25,-3.02,2653263,947.9,376.15,20271.00455,
ANDHRAPAP,NSE:ANDHRAPAP,ANDHRA PAPER LIMITED,68.85,69.01,69.54,68.31,68.52,0.33,0.48,68012,107.99,65.1,1343.680013,
ANDHRSUGAR,NSE:ANDHRSUGAR,The Andhra Sugars Limited,78,78.34,78.58,77.3,78.42,-0.42,-0.54,358107,102.8,65.1,1030.185043,
ANGELONE,NSE:ANGELONE,Angel One Limited,2760,2759.9,2770,2732.8,2749.5,10.5,0.38,822246,3503.15,1941,24285.22896,
ANIKINDS,NSE:ANIKINDS,Anik Industries Limited,68.89,69.99,69.99,66.54,66.56,2.33,3.5,28094,133,60.51,189.0289226,
ANKITMETAL,NSE:ANKITMETAL,Ankit Metal & Power Limited,1.84,1.87,1.87,1.76,1.86,-0.02,-1.08,33034,4.99,1.55,24.5759052,
ANMOL,NSE:ANMOL,Anmol India Limited,14.39,14.68,14.68,14.05,14.68,-0.29,-1.98,49980,30.24,12.9,81.1842232,
ANSALAPI,NSE:ANSALAPI,Ansal Properties & Infrastructure Limited,3.48,3.37,3.48,3.35,3.42,0.06,1.75,60228,11.97,3.33,54.4840982,
ANTGRAPHIC,NSE:ANTGRAPHIC,Antarctica Limited,0.97,0.99,1,0.96,0.99,-0.02,-2.02,173367,1.78,0.8,14.2002281,
ANTHEM,NSE:ANTHEM,Anthem Biosciences Limited,625,632.6,633.1,620,632.6,-7.6,-1.2,449069,873.5,620,34985.97817,
ANUHPHR,NSE:ANUHPHR,Anuh Pharma Limited,77,77.9,77.9,76.52,76.88,0.12,0.16,63786,122.85,74.25,773.78994,
ANUP,NSE:ANUP,The Anup Engineering Limited,2279.4,2310,2327.1,2273,2308.9,-29.5,-1.28,17501,3859.4,2206.4,4462.492879,
ANURAS,NSE:ANURAS,Anupam Rasayan India Limited,1208,1244,1244,1208,1231.8,-23.8,-1.93,368631,1263,601,13222.93712,
APARINDS,NSE:APARINDS,Apar Industries Limited,9163,9250.5,9333.5,9115,9156.5,6.5,0.07,111046,11779.9,4308.05,36863.08431,
APCL,NSE:APCL,Anjani Portland Cement Limited,124.7,122.76,125,119.25,120.34,4.36,3.62,5479,186.9,96.2,369.7949728,
APCOTEXIND,NSE:APCOTEXIND,Apcotex Industries Limited,411.65,403,412.4,397.35,403.85,7.8,1.93,31779,444,286.95,2119.109951,
APEX,NSE:APEX,Apex Frozen Foods Limited,299.6,310.19,310.97,295.3,309.27,-9.67,-3.13,1208621,350.53,186.55,930.2517273,
